# level,count,first,last,source
Africa,143,2.858700,138.432000,official
AllAboutUs,334,1.303700,138.440200,official
Alley,232,0.011700,102.544700,official
Autumn,173,1.024000,88.757300,official
Basketball,158,3.428571,82.300000,official
Beginning,119,0.932300,69.732300,official
Cathedral,351,1.077300,122.933300,official
Chaos,314,0.986400,37.161000,official
China,302,1.188300,114.223000,official
Christmas,207,2.049200,122.449100,official
ChristmasEve,146,2.005300,124.426600,official
Comegetit,324,2.000000,164.625100,official
ComingSoon,28,0.538000,24.000000,official
Crystal,203,1.216000,109.017600,official
Desert,147,0.000000,55.200000,official
Dragon,237,3.692300,129.000000,official
Duck,176,3.099700,114.751200,official
EarthDay,245,2.481300,110.790700,official
EarthDayRemix,226,2.039600,94.039200,official
Easter,173,0.750000,87.375100,official
EpicCathedral,219,0.051400,129.246200,official
Fantasy,131,0.000000,65.100000,official
Football,266,2.528620,114.510000,official
HalloweenRemix,171,0.000000,94.600000,official
Haloween,224,0.640000,111.584000,official
Heaven,182,3.024900,124.171700,official
Heaven_color,182,3.024900,124.171700,official
HipHop,223,0.008400,148.587200,official
LoveStory,138,1.113938,68.900000,official
Maze,205,0.903100,118.651400,official
Mountains,279,0.480000,110.026600,official
Mystery,266,1.974600,117.345100,official
Ocean,103,1.019700,92.881000,official
Park,169,1.875000,76.800000,official
Piano,132,0.000000,62.500000,official
PianoRemix,128,1.900937,63.388000,official
Pirates,183,1.811179,55.200000,official
Plains,210,1.032300,133.039900,official
PlainsRemix,210,1.032300,133.039900,official
Race,304,1.128217,123.300000,official
Samurai,245,0.541000,109.408100,official
Seasons,218,1.232400,102.824900,official
Spring,64,1.775900,78.712800,official
SpringAwake,63,1.775900,77.774400,official
SpringFestival,298,2.666700,93.833200,official
Storm,266,0.693300,93.130700,official
StormRemix,167,0.000000,116.895700,official
Taurus,125,4.235300,133.411800,official
TheEnd,168,1.008500,107.372200,official
TheExodus,155,4.636400,146.575800,official
TheJournay,157,0.011500,122.280600,official
TheSpace,289,1.361000,161.869000,official
TheWar,157,1.000000,115.125000,official
TheWizardOfOz,235,0.858300,147.362400,official
ThirdAnniversary,293,0.409375,124.970000,official
Valentines,104,3.349300,123.403600,official
VideoGame,285,3.750000,96.562200,official
West,171,2.749300,122.016000,official
WinterHouseRemix,218,1.232400,102.824900,official
